khizarhussain16, 35903, 4, 2016-3-8 23:28:46
Avatar_ID: 3, x :24, y: 26
Avatar_ID: 0, x :32, y: 17
Avatar_ID: 1, x :15, y: 7
Avatar_ID: 2, x :6, y: 0
Avatar_ID: 3, x :25, y: 26
Avatar_ID: 0, x :32, y: 17
Avatar_ID: 1, x :15, y: 8
Avatar_ID: 2, x :5, y: 0
Avatar_ID: 3, x :25, y: 26
Avatar_ID: 0, x :31, y: 17
Avatar_ID: 1, x :15, y: 8
Avatar_ID: 2, x :5, y: 1
Avatar_ID: 3, x :26, y: 26
Avatar_ID: 0, x :31, y: 18
Avatar_ID: 1, x :15, y: 9
Avatar_ID: 2, x :5, y: 1
Avatar_ID: 3, x :26, y: 26
Avatar_ID: 0, x :31, y: 18
Avatar_ID: 1, x :16, y: 9
Avatar_ID: 2, x :5, y: 1
Avatar_ID: 3, x :26, y: 26
Avatar_ID: 0, x :31, y: 18
Avatar_ID: 1, x :16, y: 8
Avatar_ID: 2, x :4, y: 1
Avatar_ID: 3, x :26, y: 26
Avatar_ID: 0, x :30, y: 18
Avatar_ID: 1, x :16, y: 8
Avatar_ID: 2, x :4, y: 1
Avatar_ID: 3, x :25, y: 26
Avatar_ID: 0, x :30, y: 18
Avatar_ID: 1, x :16, y: 8
Avatar_ID: 2, x :4, y: 1
Avatar_ID: 3, x :25, y: 26
Avatar_ID: 0, x :29, y: 18
Avatar_ID: 1, x :17, y: 8
Avatar_ID: 2, x :4, y: 0
Avatar_ID: 3, x :24, y: 26
Avatar_ID: 0, x :29, y: 19
Avatar_ID: 1, x :17, y: 7
Avatar_ID: 2, x :4, y: 0
Avatar_ID: 3, x :24, y: 26
Avatar_ID: 0, x :29, y: 19
Avatar_ID: 1, x :17, y: 7
Avatar_ID: 2, x :4, y: 0
Avatar_ID: 3, x :23, y: 26
Avatar_ID: 0, x :29, y: 19
Avatar_ID: 1, x :17, y: 7
Avatar_ID: 2, x :4, y: 0
Avatar_ID: 3, x :23, y: 26
Avatar_ID: 0, x :28, y: 19
Avatar_ID: 1, x :18, y: 7
Avatar_ID: 2, x :4, y: 1
Avatar_ID: 3, x :22, y: 26
Avatar_ID: 0, x :28, y: 19
Avatar_ID: 1, x :18, y: 7
Avatar_ID: 2, x :5, y: 1
Avatar_ID: 3, x :22, y: 27
Avatar_ID: 0, x :28, y: 19
Avatar_ID: 1, x :19, y: 7
Avatar_ID: 2, x :5, y: 0
Avatar_ID: 3, x :22, y: 27
Avatar_ID: 0, x :28, y: 18
Avatar_ID: 1, x :19, y: 7
Avatar_ID: 2, x :5, y: 0
Avatar_ID: 3, x :22, y: 27
Avatar_ID: 0, x :28, y: 18
Avatar_ID: 1, x :20, y: 7
Avatar_ID: 2, x :5, y: 0
Avatar_ID: 3, x :21, y: 27
Avatar_ID: 0, x :28, y: 17
Avatar_ID: 1, x :20, y: 6
Avatar_ID: 2, x :6, y: 0
Avatar_ID: 3, x :21, y: 28
Avatar_ID: 0, x :28, y: 17
Avatar_ID: 1, x :20, y: 6
Avatar_ID: 2, x :6, y: 0
Avatar_ID: 3, x :21, y: 28
Avatar_ID: 0, x :28, y: 16
Avatar_ID: 1, x :20, y: 6
Avatar_ID: 2, x :7, y: 0
